#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
208675_s_at 908.6   P   0.023926
201531_at   2558.2  M   0.056152
200896_x_at 2795.2  P   0.005859
200603_at   5119.2  P   0.000244
208616_s_at 3867.8  P   0.000732
212037_at   428.8   P   0.00415
200608_s_at 984.1   P   0.000244
200944_s_at 1569.2  P   0.000244
210950_s_at 1638.6  P   0.001221
200660_at   4329.1  P   0.005859
200668_s_at 5959.6  P   0.000244
200959_at   307.9   A   0.246094
201105_at   1033.1  P   0.008057
200797_s_at 14396.2 P   0.000244
200691_s_at 450.9   P   0.046143
212600_s_at 1004.9  P   0.001221
39729_at    1023.6  P   0.000959
217773_s_at 886.5   M   0.056152
218013_x_at 299.7   A   0.19458
201669_s_at 2382    P   0.000732
200735_x_at 3177.4  P   0.000244
201496_x_at 47.4    A   0.665527
200696_s_at 1151.8  P   0.023926
210297_s_at 83.5    A   0.334473
208794_s_at 54.6    A   0.601074
211954_s_at 398.2   A   0.111572
200958_s_at 15944.3 P   0.000244
200708_at   501 A   0.366211
200830_at   434.5   A   0.095215
208658_at   658 M   0.056152
200620_at   2871.4  P   0.001221
208712_at   49.5    A   0.466064
222021_x_at 1359.3  P   0.00293
217728_at   6008.2  P   0.000732
200974_at   304.9   A   0.149658
200926_at   15248.1 P   0.000244
212203_x_at 13912.5 P   0.008057
200720_s_at 457.8   A   0.303711
200902_at   838.6   P   0.000732
208310_s_at 198.1   A   0.149658
200768_s_at 857.7   P   0.005859
209701_at   673.5   P   0.01416
204450_x_at 26.6    A   0.665527
208682_s_at 48.3    A   0.72583
200793_s_at 61.1    A   0.753906
200901_s_at 732.1   A   0.27417
210715_s_at 292.8   A   0.366211
200626_s_at 489.5   P   0.001953
200728_at   4698.2  P   0.000244
200629_at   453.6   P   0.037598
200932_s_at 717.8   A   0.334473
41220_at    2315.4  A   0.081337
201275_at   403.4   A   0.303711
208811_s_at 314.4   A   0.129639
216032_s_at 588.5   P   0.023926
201041_s_at 9968    P   0.001221
200854_at   487.8   P   0.00293
210816_s_at 521.8   P   0.01416
201540_at   604.7   P   0.046143
200761_s_at 3972.8  P   0.00293
200666_s_at 769.7   P   0.023926
211185_s_at 3521.3  P   0.00293
204737_s_at 8.5 A   0.981445
200658_s_at 233.5   A   0.19458
210195_s_at 353 P   0.018555
200645_at   7632.1  P   0.000244
200707_at   775.6   A   0.095215
201077_s_at 394.1   P   0.030273
200710_at   974.2   A   0.080566
200632_s_at 848 P   0.000732
208636_at   3712    P   0.001953
200609_s_at 1693.7  P   0.046143
200834_s_at 8084.4  P   0.000244
216088_s_at 155.3   A   0.398926
200675_at   652.8   P   0.030273
201786_s_at 2088.7  P   0.000244
211980_at   204.4   A   0.080566
208626_s_at 487.9   A   0.567627
212509_s_at 1346.1  P   0.00415
214218_s_at 383.4   P   0.000732
217753_s_at 815.9   P   0.010742
200747_s_at 56.9    A   0.953857
200820_at   63.7    A   0.780518
208662_s_at 479.6   P   0.001953
201304_at   248.8   P   0.001221
208620_at   4834.6  P   0.00293
217716_s_at 132.5   A   0.665527
200903_s_at 499.3   P   0.010742
201092_at   819.7   M   0.056152
213201_s_at 34  A   0.962402
200846_s_at 1010.3  P   0.023926
207168_s_at 3567.1  P   0.000244
217822_at   342.9   A   0.246094
208723_at   828.5   A   0.149658
208745_at   560.3   A   0.095215
208728_s_at 815 P   0.008057
217225_x_at 1160.7  A   0.19458
200661_at   75.4    A   0.72583
200644_at   913.8   P   0.00293
220789_s_at 96.1    A   0.80542
208967_s_at 844.6   A   0.067627
201058_s_at 25  A   0.981445
200942_s_at 1538.9  P   0.030273
212461_at   1098.8  P   0.001221
219549_s_at 1917.3  P   0.005859
200595_s_at 556.4   P   0.001221
200998_s_at 786.8   M   0.056152
211992_at   761.1   P   0.005859
213086_s_at 548.6   P   0.01416
202154_x_at 88.9    A   0.601074
210027_s_at 575.2   A   0.432373
200782_at   1132.2  P   0.00415
200876_s_at 850.6   P   0.00293
200701_at   2331.6  P   0.000244
213621_s_at 67.8    A   0.533936
38691_s_at  622.5   A   0.47938
200619_at   88.3    A   0.991943
206158_s_at 2788.5  P   0.000732
200652_at   1462.9  P   0.018555
213281_at   75.3    A   0.149658
208614_s_at 90.7    A   0.888428
214214_s_at 291.4   P   0.023926
206918_s_at 668.8   P   0.030273
200618_at   2349    P   0.001221
209312_x_at 3138.8  P   0.001953
203445_s_at 3045.8  P   0.000732
212592_at   320 P   0.000732
217758_s_at 810.2   P   0.00415
209016_s_at 12.1    A   0.72583
201901_s_at 2780.4  P   0.001221
213846_at   622.5   A   0.27417
200965_s_at 840.3   P   0.037598
207076_s_at 139.9   A   0.5
201264_at   325.4   A   0.5
217833_at   705.6   P   0.000732
204050_s_at 43.7    A   0.601074
209330_s_at 128.5   A   0.303711
