#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
211992_at   1694    P   0.001221
213086_s_at 872.2   A   0.095215
202154_x_at 489.5   A   0.334473
210027_s_at 166.2   A   0.633789
200782_at   1165.2  P   0.030273
200876_s_at 207 A   0.111572
200701_at   1001.4  P   0.000244
213621_s_at 29  A   0.696289
38691_s_at  507.7   A   0.52062
200619_at   92.6    A   0.99585
206158_s_at 1638.6  P   0.008057
200652_at   1216.1  A   0.149658
213281_at   418.9   P   0.01416
208614_s_at 233.4   A   0.633789
214214_s_at 66.4    A   0.432373
206918_s_at 795.5   A   0.149658
200618_at   2021.8  P   0.001953
209312_x_at 902.1   A   0.111572
203445_s_at 2642.8  P   0.000732
212592_at   104.2   A   0.466064
217758_s_at 448.9   P   0.037598
209016_s_at 32.4    A   0.567627
201901_s_at 1676.9  P   0.005859
213846_at   215.2   A   0.533936
200965_s_at 1424.6  A   0.095215
207076_s_at 156.2   A   0.601074
201264_at   91  A   0.870361
217833_at   727.7   P   0.008057
204050_s_at 44.5    A   0.780518
209330_s_at 344.1   A   0.067627
