#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detecion call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
207323_s_at 538.5   A   0.080566
200745_s_at 1817.9  P   0.008057
200757_s_at 213.1   A   0.432373
200824_at   1350.2  P   0.00415
200781_s_at 12074.3 P   0.000244
215111_s_at 231.4   A   0.171387
205547_s_at 103.1   A   0.27417
201586_s_at 373.5   P   0.023926
220189_s_at 194.8   A   0.398926
200627_at   1209.7  P   0.000244
201250_s_at 495.3   A   0.129639
200847_s_at 2334.3  P   0.000244
200662_s_at 490.3   P   0.01416
201744_s_at 6.5 A   0.962402
201209_at   619.4   P   0.046143
208631_s_at 435.2   A   0.149658
208700_s_at 1743.7  P   0.001953
200862_at   540.8   A   0.129639
209248_at   612.7   P   0.001953
212595_s_at 2143    P   0.000244
217720_at   2677.8  P   0.00415
204031_s_at 14979.7 P   0.000244
201012_at   1533.7  P   0.000244
208706_s_at 552.2   P   0.010742
200663_at   3899.4  P   0.00293
200614_at   2057    P   0.010742
200709_at   2606.9  P   0.001221
200670_at   717.3   P   0.000244
208783_s_at 1285.2  P   0.000732
213762_x_at 794.6   A   0.067627
200837_at   501.3   A   0.129639
210891_s_at 1862    P   0.001221
213282_at   189.8   A   0.19458
208649_s_at 553.2   A   0.27417
209067_s_at 495 A   0.095215
217982_s_at 2361.7  P   0.000244
200968_s_at 614.6   A   0.246094
214911_s_at 558.6   A   0.080566
201784_s_at 262.3   P   0.01416
211937_at   1222.8  P   0.030273
200610_s_at 996.3   P   0.001953
211375_s_at 217.3   A   0.27417
200976_s_at 1550.5  P   0.008057
201094_at   17921.7 P   0.000732
201417_at   28.7    A   0.665527
208654_s_at 683.3   P   0.018555
214132_at   430.4   A   0.067627
201368_at   3177.1  P   0.001953
200601_at   1119.4  A   0.067627
201042_at   309.1   A   0.303711
213671_s_at 477.5   A   0.111572
208689_s_at 1377.7  P   0.001221
220954_s_at 369.5   A   0.19458
200986_at   59.1    A   0.696289
201288_at   9779.5  P   0.001953
211575_s_at 216.7   P   0.008057
200657_at   1531.4  P   0.046143
200699_at   506.6   P   0.030273
214882_s_at 271.6   P   0.00415
202182_at   362.8   A   0.111572
208691_at   159.9   P   0.010742
201360_at   1438.8  P   0.000732
200899_s_at 988.6   P   0.000732
200695_at   1733    A   0.398926
213923_at   1287.3  P   0.00415
200929_at   121.3   A   0.246094
200642_at   1135.7  A   0.095215
