#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200665_s_at 206.8   A   0.398926
201322_at   1352.7  P   0.030273
200634_at   4168.6  P   0.000244
201894_s_at 602.2   P   0.023926
213798_s_at 2390.3  P   0.000244
200741_s_at 25952.8 P   0.000244
201397_at   1060    A   0.095215
206621_s_at 1003.6  A   0.219482
211926_s_at 1467.7  A   0.067627
208852_s_at 536.4   A   0.067627
208640_at   1274.3  P   0.001221
210978_s_at 3792.5  P   0.030273
208673_s_at 196.6   P   0.001953
211941_s_at 1002.1  A   0.171387
208619_at   857.2   A   0.149658
220605_s_at 1163.8  A   0.219482
211939_x_at 8480.7  P   0.000244
218831_s_at 915.8   A   0.303711
201318_s_at 3020.4  P   0.000732
210986_s_at 259.7   P   0.037598
208697_s_at 1832.9  P   0.01416
217807_s_at 4369.3  P   0.000244
208624_s_at 794.9   P   0.046143
200923_at   306.8   A   0.27417
213803_at   876.9   P   0.046143
218084_x_at 2430.1  P   0.008057
200845_s_at 382.1   P   0.046143
221474_at   5029    P   0.010742
200764_s_at 514.9   A   0.129639
201149_s_at 974 A   0.171387
203872_at   391.9   A   0.219482
217756_x_at 13406.5 P   0.00415
222018_at   71.3    A   0.780518
204102_s_at 12221.7 P   0.000244
208650_s_at 65.5    A   0.696289
209875_s_at 312.1   A   0.067627
209096_at   442.8   P   0.037598
200673_at   805.8   P   0.000244
204810_s_at 72  A   0.533936
200984_s_at 636.3   P   0.00415
212099_at   1849.8  P   0.00415
208821_at   79.7    A   0.366211
204582_s_at 94.6    A   0.919434
203258_at   439.3   A   0.171387
217733_s_at 5237.9  P   0.001953
200593_s_at 609.4   A   0.080566
200990_at   729.5   A   0.171387
208659_at   3609.4  P   0.000732
200971_s_at 2684.1  P   0.01416
200812_at   133.3   A   0.665527
215001_s_at 6868.3  P   0.000244
201650_at   10.2    A   0.943848
208642_s_at 1112.1  P   0.008057
218617_at   449.4   A   0.19458
213782_s_at 33.5    A   0.904785
203382_s_at 35.5    A   0.932373
200819_s_at 13012.7 P   0.000244
213879_at   416 A   0.366211
201088_at   327.7   A   0.129639
200631_s_at 857.7   A   0.095215
200978_at   496.9   A   0.466064
212266_s_at 1933.4  P   0.005859
200853_at   607.6   P   0.023926
200718_s_at 4173.6  P   0.000244
221962_s_at 208.7   A   0.80542
211284_s_at 156.3   A   0.27417
221494_x_at 2426.7  P   0.037598
204083_s_at 13.6    A   0.919434
213606_s_at 15.7    A   0.969727
201002_s_at 766.1   A   0.129639
209277_at   66.9    A   0.111572
208638_at   403.7   A   0.219482
201327_s_at 278.7   A   0.111572
201097_s_at 1026.6  P   0.01416
205292_s_at 649.9   P   0.005859
201427_s_at 49.2    A   0.753906
202995_s_at 373.4   P   0.018555
200623_s_at 53.5    A   0.665527
212016_s_at 446.9   A   0.219482
208623_s_at 341.7   P   0.01416
208666_s_at 405.7   P   0.008057
