#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
211939_x_at 13335.5 P   0.000244
218831_s_at 1091.7  A   0.366211
201318_s_at 4380    P   0.001221
210986_s_at 302.2   A   0.111572
208697_s_at 308.4   A   0.398926
217807_s_at 426.7   A   0.466064
208624_s_at 691.2   A   0.111572
200923_at   229 A   0.466064
213803_at   500 A   0.149658
218084_x_at 609.9   A   0.129639
200845_s_at 310.4   A   0.171387
221474_at   7252.5  P   0.010742
200764_s_at 703.5   A   0.095215
201149_s_at 596.6   A   0.111572
203872_at   366.3   A   0.111572
217756_x_at 26369   P   0.00293
222018_at   71.2    A   0.828613
204102_s_at 11964.2 P   0.000244
208650_s_at 189.4   A   0.665527
209875_s_at 282.6   A   0.219482
209096_at   495.5   P   0.046143
200673_at   939.2   P   0.000732
204810_s_at 314.5   A   0.5
200984_s_at 414.8   P   0.010742
212099_at   1944    P   0.005859
208821_at   635.4   A   0.366211
204582_s_at 89  A   0.828613
203258_at   105.5   A   0.696289
217733_s_at 1556.4  P   0.037598
200593_s_at 1097.6  A   0.111572
200990_at   316.3   A   0.432373
208659_at   3805.9  P   0.000732
200971_s_at 1734.1  P   0.001953
200812_at   252.4   A   0.567627
215001_s_at 11017.3 P   0.000244
201650_at   12.4    A   0.919434
208642_s_at 1197.3  P   0.00293
218617_at   389.4   A   0.246094
213782_s_at 15.4    A   0.976074
203382_s_at 52.4    A   0.904785
200819_s_at 11717.3 P   0.000244
213879_at   183.4   A   0.398926
201088_at   133.2   A   0.303711
200631_s_at 338.9   A   0.303711
200978_at   125 A   0.72583
212266_s_at 1568.2  P   0.005859
200853_at   726.2   P   0.005859
200718_s_at 6290.3  P   0.000244
221962_s_at 374.8   A   0.533936
211284_s_at 171.1   A   0.432373
221494_x_at 2596.9  P   0.030273
204083_s_at 18.1    A   0.976074
213606_s_at 31.3    A   0.981445
201002_s_at 481.6   A   0.080566
209277_at   89  A   0.533936
208638_at   302.9   A   0.246094
201327_s_at 159.1   A   0.19458
201097_s_at 945.5   P   0.008057
205292_s_at 392.8   A   0.080566
201427_s_at 54.7    A   0.753906
202995_s_at 423 A   0.171387
200623_s_at 67.5    A   0.665527
212016_s_at 717.9   A   0.111572
208623_s_at 275.1   P   0.00415
208666_s_at 203.5   A   0.111572
210095_s_at 512.4   P   0.046143
207323_s_at 1328.3  A   0.080566
200745_s_at 1279.6  P   0.01416
200757_s_at 68.8    A   0.72583
200824_at   943.2   P   0.030273
200781_s_at 8827.2  P   0.000244
215111_s_at 51.9    A   0.780518
205547_s_at 70.5    A   0.72583
201586_s_at 120.3   A   0.533936
220189_s_at 220 A   0.432373
200627_at   454.7   P   0.00293
201250_s_at 768.7   A   0.129639
200847_s_at 1800.5  P   0.000244
200662_s_at 371.1   M   0.056152
201744_s_at 71.8    A   0.432373
201209_at   388.7   A   0.080566
208631_s_at 636.2   A   0.149658
208700_s_at 1648.5  P   0.01416
200862_at   545.6   A   0.129639
209248_at   573.1   P   0.000244
212595_s_at 2447.4  P   0.000244
217720_at   2573.2  P   0.018555
204031_s_at 23013   P   0.000732
201012_at   1095.3  P   0.000732
208706_s_at 441.4   P   0.037598
200663_at   2654.6  P   0.010742
200614_at   1597.3  A   0.067627
200709_at   2482.6  P   0.001953
200670_at   384.2   P   0.01416
208783_s_at 2022.3  P   0.000244
213762_x_at 483 A   0.533936
200837_at   102.4   A   0.466064
210891_s_at 1951.1  P   0.000732
213282_at   526.2   A   0.19458
208649_s_at 190.3   A   0.398926
209067_s_at 1200.7  A   0.067627
217982_s_at 2731    P   0.000244
200968_s_at 221.5   A   0.533936
214911_s_at 773.5   A   0.149658
201784_s_at 208.7   A   0.246094
211937_at   1421.3  A   0.149658
200610_s_at 514.5   A   0.111572
211375_s_at 27.2    A   0.72583
200976_s_at 1987.9  P   0.018555
201094_at   4659.6  P   0.00293
201417_at   12.5    A   0.828613
208654_s_at 450.1   P   0.046143
214132_at   294.3   A   0.111572
201368_at   3392.2  P   0.00293
200601_at   1395    A   0.129639
201042_at   524.4   A   0.334473
213671_s_at 539.8   A   0.303711
208689_s_at 889.8   P   0.01416
220954_s_at 62.9    A   0.753906
200986_at   220.3   A   0.601074
201288_at   10108.7 P   0.005859
211575_s_at 184.9   A   0.19458
200657_at   947.1   A   0.219482
200699_at   245.7   A   0.303711
214882_s_at 274.2   P   0.010742
202182_at   1030    A   0.095215
208691_at   420.2   P   0.018555
201360_at   1206.7  P   0.01416
200899_s_at 1256.8  P   0.000244
200695_at   1950.7  A   0.398926
213923_at   581 P   0.046143
200929_at   222.5   A   0.246094
200642_at   725.9   A   0.466064
200924_s_at 357.6   A   0.432373
218813_s_at 199.5   A   0.366211
201271_s_at 387.3   A   0.095215
208695_s_at 12051   P   0.000244
213151_s_at 1556.5  P   0.001953
201387_s_at 568.9   A   0.303711
209186_at   332.9   A   0.149658
203973_s_at 3411.1  P   0.008057
200921_s_at 3482.7  P   0.000732
205157_s_at 320 A   0.398926
204179_at   292.3   A   0.398926
208756_at   645.7   A   0.334473
217729_s_at 57.4    A   0.932373
201339_s_at 22.3    A   0.72583
200877_at   102.6   A   0.533936
200682_s_at 770.4   A   0.080566
215399_s_at 963.5   P   0.01416
201272_at   520.7   A   0.149658
208675_s_at 310.3   A   0.111572
201531_at   4763.2  P   0.023926
200896_x_at 5940.2  P   0.005859
200603_at   3371.8  P   0.000244
208616_s_at 3645.4  P   0.000732
212037_at   516.9   P   0.046143
200608_s_at 574.9   P   0.000732
200944_s_at 1129.4  P   0.000732
210950_s_at 1897.5  P   0.000244
200660_at   2288.1  P   0.046143
200668_s_at 9772.2  P   0.000244
200959_at   818 A   0.246094
201105_at   262.7   A   0.567627
200797_s_at 9411.9  P   0.000244
200691_s_at 295.9   A   0.246094
212600_s_at 732.6   P   0.00415
39729_at    2654.6  P   0.000322
217773_s_at 444.7   A   0.303711
218013_x_at 253.4   A   0.246094
201669_s_at 2108.7  P   0.00293
200735_x_at 4497.6  P   0.000244
201496_x_at 69.7    A   0.753906
200696_s_at 1556.5  P   0.018555
210297_s_at 23.5    A   0.72583
208794_s_at 41.9    A   0.888428
211954_s_at 40.1    A   0.5
200958_s_at 15848.9 P   0.000244
200708_at   74.4    A   0.780518
200830_at   580.6   A   0.067627
208658_at   594.2   A   0.27417
200620_at   2592    P   0.018555
208712_at   121.5   A   0.466064
222021_x_at 2259.2  P   0.00293
217728_at   3726.2  P   0.008057
200974_at   376.1   M   0.056152
200926_at   3802.5  P   0.018555
212203_x_at 28847.4 P   0.01416
200720_s_at 643.7   A   0.432373
200902_at   321.9   P   0.00415
208310_s_at 419.6   A   0.080566
200768_s_at 647.1   P   0.018555
209701_at   944.5   P   0.018555
204450_x_at 57  A   0.72583
208682_s_at 54.5    A   0.80542
200793_s_at 106.7   A   0.888428
200901_s_at 868.5   A   0.303711
210715_s_at 50.2    A   0.753906
200626_s_at 140.5   A   0.246094
200728_at   4065    P   0.000732
200629_at   609.8   P   0.001953
200932_s_at 659.9   A   0.303711
41220_at    434.3   A   0.189687
201275_at   621.9   A   0.366211
208811_s_at 112 A   0.398926
216032_s_at 555.3   A   0.19458
201041_s_at 7085.2  P   0.001953
200854_at   387.7   P   0.001953
210816_s_at 389.7   A   0.246094
201540_at   381.3   A   0.149658
200761_s_at 1556.3  P   0.023926
200666_s_at 926.2   A   0.095215
211185_s_at 3883    P   0.023926
204737_s_at 45.8    A   0.828613
200658_s_at 99  A   0.665527
210195_s_at 309.6   P   0.010742
200645_at   11174.3 P   0.000732
200707_at   411.6   A   0.665527
201077_s_at 365.2   A   0.27417
200710_at   921.1   A   0.219482
200632_s_at 1315.6  P   0.000732
208636_at   3553.9  P   0.00293
200609_s_at 1082.4  A   0.19458
200834_s_at 1208.5  A   0.067627
216088_s_at 29.5    A   0.932373
200675_at   542 A   0.129639
201786_s_at 3240.9  P   0.000244
211980_at   138.5   A   0.171387
208626_s_at 398.1   A   0.780518
212509_s_at 746.9   P   0.037598
214218_s_at 216.7   A   0.171387
217753_s_at 487.9   A   0.149658
200747_s_at 128.8   A   0.919434
200820_at   89.8    A   0.72583
208662_s_at 375 P   0.030273
201304_at   107 A   0.27417
208620_at   5295.3  P   0.008057
217716_s_at 126.3   A   0.850342
200903_s_at 193.8   P   0.046143
201092_at   199.6   A   0.398926
213201_s_at 64.1    A   0.962402
200846_s_at 670 A   0.366211
207168_s_at 2173    P   0.000732
217822_at   388.9   A   0.567627
208723_at   1065.2  A   0.219482
208745_at   635.8   A   0.303711
208728_s_at 778.1   M   0.056152
217225_x_at 1370.6  A   0.19458
200661_at   82.2    A   0.780518
200644_at   1083.8  P   0.000244
220789_s_at 61.6    A   0.98584
208967_s_at 853 A   0.111572
201058_s_at 40.9    A   0.994141
200942_s_at 1245.2  A   0.095215
212461_at   712.4   M   0.056152
219549_s_at 2117.1  P   0.008057
200595_s_at 249.5   A   0.246094
200998_s_at 1364.4  A   0.080566
211992_at   2585.5  P   0.001221
213086_s_at 515.3   M   0.056152
202154_x_at 587.4   A   0.219482
210027_s_at 379.9   A   0.665527
200782_at   647.1   A   0.080566
200876_s_at 419 P   0.037598
200701_at   2014.3  P   0.000244
213621_s_at 71.5    A   0.633789
38691_s_at  167.4   A   0.749276
200619_at   116.3   A   0.919434
206158_s_at 2586.3  P   0.00415
200652_at   1625.7  A   0.129639
213281_at   293.6   A   0.080566
208614_s_at 114.1   A   0.780518
214214_s_at 108.3   A   0.303711
206918_s_at 1614.3  A   0.095215
200618_at   2278.5  P   0.001221
209312_x_at 580.2   P   0.030273
203445_s_at 2710.6  P   0.000244
212592_at   74.3    A   0.567627
217758_s_at 562.7   M   0.056152
209016_s_at 123.8   A   0.665527
201901_s_at 2174.2  P   0.010742
213846_at   498 A   0.466064
200965_s_at 561 A   0.432373
207076_s_at 369.4   A   0.533936
201264_at   773.2   A   0.533936
217833_at   449.7   M   0.056152
204050_s_at 40.8    A   0.753906
209330_s_at 186.9   A   0.665527
217722_s_at 299.7   A   0.129639
213650_at   360.8   A   0.111572
200821_at   631.1   P   0.018555
